season,site,niche,quad,blank_corrected_ppm,dry_mass,sample_area_cm2,sample_depth_cm,moist
fall,FounEast,Wood,2,-1.965996,1.58,4.909,2,59.494
summer_wet,GravPit,Lichen,SW,1.342221333,0.97,4.909,2,58.763
fall,BiscBas,Wood,7,-3.27172,1.3,4.909,2,58.462
summer_wet,GravPit,Lichen,SE,-1.493442667,0.77,4.909,2,58.442
summer_wet,GravPit,Lichen,NE,31.48323733,0.875,4.909,2,57.714
summer_wet,FounEast,Litter,SE,-1.151152,0.574,4.909,2,56.794
summer_wet,BiscBas,Wood,SW,-0.417629333,1.03,4.909,2,56.311
summer_wet,GibFalls,Litter,6,-0.472448,0.88,4.909,2,55.682
summer_wet,FirLopSo,Lichen,SE,-1.786402667,1.51,4.909,2,55.629
summer_wet,GibFalls,Wood,6,-0.036597333,1.41,4.909,2,55.319
fall,FounEast,Wood,4,-2.487732,0.79,4.909,2,54.43
summer_wet,GravPit,Litter,SW,-0.273544,0.46,4.909,2,54.348
summer_wet,FirLopSo,Litter,NE,-0.291448,0.96,4.909,2,54.167
spring,GravPit,Moss,SW,77.298532,6.01,4.909,2,53.74
spring,GravPit,Litter,NW,0.273123333,1.27,4.909,2,53.54
summer_wet,BiscBas,Litter,SW,-0.078584,0.71,4.909,2,53.521
summer_wet,GravPit,Litter,NE,-1.496152,0.62,4.909,2,53.226
fall,GravPit,Wood,4,-3.239084,2.44,4.909,2,52.049
summer_wet,FirLopSo,Lichen,6,-1.424354667,1.71,4.909,2,52.047
summer_wet,GibFalls,Litter,NW,-2.238832,0.79,4.909,2,51.899
spring,GravPit,Litter,NE,0.444875333,1.41,4.909,2,51.77
spring,FounEast,Moss,SW,0.730504,2.18,4.909,2,51.38
spring,GibFalls,Moss,NE,11.279756,6.08,4.909,2,48.85
summer_wet,FirLopSo,Moss,6,-1.235802,2.34,4.909,2,47.863
spring,GravPit,Moss,NW,49.13298,5.86,4.909,2,47.44
spring,FirLopSo,Soil,NE,0.954009333,8.72,4.909,2,46.45
fall,BiscBas,Wood,3,-3.252024,1.94,4.909,2,44.845
summer_wet,FounEast,Soil,NW,3.525392,10.8,4.909,2,44.722
spring,BiscBas,Moss,SE,3.940884,4.69,4.909,2,44.56
summer_wet,GibFalls,Lichen,NE,-1.513786667,1.46,4.909,2,44.521
spring,FounEast,Soil,NE,0.905913333,9.45,4.909,2,44.41
spring,FirLopSo,Soil,NW,1.096513333,11.15,4.909,2,43.83
spring,GravPit,Soil,SW,0.574585333,10.27,4.909,2,43.67
spring,FounEast,Litter,SW,0.758575333,1.65,4.909,2,43.64
summer_wet,FirLopSo,Litter,NW,-0.528624,1.17,4.909,2,43.59
summer_wet,GravPit,Moss,NE,0.401966,2.544,4.909,2,43.475
spring,FirLopSo,Soil,SW,0.516441333,7.75,4.909,2,42.88
summer_wet,GibFalls,Litter,SE,0.11036,1.396,4.909,2,42.55
fall,GravPit,Wood,7,-2.778084,0.98,4.909,2,41.837
spring,FirLopSo,Litter,SE,-0.112172667,1.02,4.909,2,41.18
summer_wet,BiscBas,Litter,SE,-0.279056,0.9,4.909,2,41.111
spring,FirLopSo,Moss,NE,4.586844,2.5,4.909,2,40.4
summer_wet,BiscBas,Litter,NW,-0.882368,1.26,4.909,2,39.683
fall,FirLopSo,Soil,5,-3.9797712,6.66,4.909,2,39.64
spring,FirLopSo,Soil,SE,0.997681333,6.86,4.909,2,38.98
fall,GibFalls,Wood,6,-1.938228,1.29,4.909,2,38.76
summer_wet,GibFalls,Lichen,SE,-0.208026667,2.04,4.909,2,38.725
summer_wet,FounEast,Moss,SE,7.309086,0.837,4.909,2,38.59
summer_wet,FirLopSo,Lichen,SW,-1.598546667,1.47,4.909,2,38.095
summer_wet,FirLopSo,Lichen,NE,0.220885333,1.17,4.909,2,37.607
summer_wet,BiscBas,Lichen,6,-1.695778667,1.5,4.909,2,37.333
spring,GravPit,Lichen,NE,57.07102,3.95,4.909,2,36.81
spring,BiscBas,Soil,NE,0.754177333,13.11,4.909,2,35.85
summer_wet,GibFalls,Moss,SW,0.502654,0.346,4.909,2,35.838
spring,FirLopSo,Lichen,SW,0.115412,3.29,4.909,2,35.56
